Run,AvgSpotLen,Bases,BioProject,BioSample,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,SRA Study,ArrayExpress-SPECIES
ERR14733829,302,15515109570,PRJEB21343,SAMEA117806002,ERX14135254,HiSeq X Ten,DN495172V:F7,PAIRED,RANDOM,GENOMIC,Aulonocara sp. 'copper',ILLUMINA,ERP023585,Aulonocara sp. 'copper'
ERR14733830,302,18430927422,PRJEB21343,SAMEA117806003,ERX14135255,HiSeq X Ten,DN495172V:G7,PAIRED,RANDOM,GENOMIC,Placidochromis hennydaviesae,ILLUMINA,ERP023585,Placidochromis hennydaviesae
ERR14733831,302,17415509802,PRJEB21343,SAMEA117806004,ERX14135256,HiSeq X Ten,DN495172V:H7,PAIRED,RANDOM,GENOMIC,Sciaenochromis sp. 'sand Monkey Bay 2016',ILLUMINA,ERP023585,Sciaenochromis sp. 'sand Monkey Bay 2016'
ERR14733832,302,15617442270,PRJEB21343,SAMEA117806132,ERX14135257,HiSeq X Ten,DN495180V:B3,PAIRED,RANDOM,GENOMIC,Trematocranus placodon,ILLUMINA,ERP023585,Trematocranus placodon
ERR14733833,302,16331506170,PRJEB21343,SAMEA117806133,ERX14135258,HiSeq X Ten,DN495180V:C3,PAIRED,RANDOM,GENOMIC,Aulonocara stuartgranti,ILLUMINA,ERP023585,Aulonocara stuartgranti
ERR14733834,302,15750477498,PRJEB21343,SAMEA117806134,ERX14135259,HiSeq X Ten,DN495180V:D3,PAIRED,RANDOM,GENOMIC,Otopharynx argyrosoma,ILLUMINA,ERP023585,Otopharynx argyrosoma
ERR14733835,302,17091101100,PRJEB21343,SAMEA117806135,ERX14135260,HiSeq X Ten,DN495180V:E3,PAIRED,RANDOM,GENOMIC,Otopharynx argyrosoma,ILLUMINA,ERP023585,Otopharynx argyrosoma
ERR14733836,302,16157829594,PRJEB21343,SAMEA117806136,ERX14135261,HiSeq X Ten,DN495180V:F3,PAIRED,RANDOM,GENOMIC,Otopharynx argyrosoma,ILLUMINA,ERP023585,Otopharynx argyrosoma
ERR14733837,302,16273080948,PRJEB21343,SAMEA117806137,ERX14135262,HiSeq X Ten,DN495180V:G3,PAIRED,RANDOM,GENOMIC,Otopharynx argyrosoma,ILLUMINA,ERP023585,Otopharynx argyrosoma
ERR14733838,302,14290356120,PRJEB21343,SAMEA117805455,ERX14135263,HiSeq X Ten,DN495191B:A4,PAIRED,RANDOM,GENOMIC,Tropheops sp. 'yellow gular',ILLUMINA,ERP023585,Tropheops sp. 'yellow gular'
ERR14733839,302,16962882470,PRJEB21343,SAMEA117805456,ERX14135264,HiSeq X Ten,DN495191B:B4,PAIRED,RANDOM,GENOMIC,Tropheops sp. 'chiofu yellow 2016',ILLUMINA,ERP023585,Tropheops sp. 'chiofu yellow 2016'
ERR14733840,302,16690845702,PRJEB21343,SAMEA117805457,ERX14135265,HiSeq X Ten,DN495191B:C4,PAIRED,RANDOM,GENOMIC,Diplotaxodon sp. 'big eye black dorsal 2016',ILLUMINA,ERP023585,Diplotaxodon sp. 'big eye black dorsal 2016'
ERR14733841,302,17546024840,PRJEB21343,SAMEA117805459,ERX14135266,HiSeq X Ten,DN495191B:E4,PAIRED,RANDOM,GENOMIC,Cynotilapia afra,ILLUMINA,ERP023585,Cynotilapia afra
ERR14733842,302,16070116110,PRJEB21343,SAMEA117805460,ERX14135267,HiSeq X Ten,DN495191B:F4,PAIRED,RANDOM,GENOMIC,Rhamphochromis sp. 'long snout',ILLUMINA,ERP023585,Rhamphochromis sp. 'long snout'
ERR14733843,302,18710678478,PRJEB21343,SAMEA117805461,ERX14135268,HiSeq X Ten,DN495191B:G4,PAIRED,RANDOM,GENOMIC,Diplotaxodon macrops,ILLUMINA,ERP023585,Diplotaxodon macrops
ERR14733844,302,16261800040,PRJEB21343,SAMEA117805463,ERX14135269,HiSeq X Ten,DN495191B:H4,PAIRED,RANDOM,GENOMIC,Copadichromis mloto,ILLUMINA,ERP023585,Copadichromis mloto
ERR14733845,302,15840747412,PRJEB21343,SAMEA117805717,ERX14135270,HiSeq X Ten,DN495167B:A8,PAIRED,RANDOM,GENOMIC,Maylandia zebra,ILLUMINA,ERP023585,Maylandia callainos
ERR14733846,302,17813428022,PRJEB21343,SAMEA117805718,ERX14135271,HiSeq X Ten,DN495167B:B8,PAIRED,RANDOM,GENOMIC,Aulonocara sp. 'blue orange chilumba 2016',ILLUMINA,ERP023585,Aulonocara sp. 'blue orange chilumba 2016'
ERR14733847,302,16217594186,PRJEB21343,SAMEA117805719,ERX14135272,HiSeq X Ten,DN495167B:C8,PAIRED,RANDOM,GENOMIC,Aulonocara sp. 'blue orange chilumba 2016',ILLUMINA,ERP023585,Aulonocara sp. 'blue orange chilumba 2016'
ERR14733848,302,16646518444,PRJEB21343,SAMEA117805720,ERX14135273,HiSeq X Ten,DN495167B:D8,PAIRED,RANDOM,GENOMIC,Aulonocara sp. 'blue orange chilumba 2016',ILLUMINA,ERP023585,Aulonocara sp. 'blue orange chilumba 2016'
ERR14733849,302,17187535438,PRJEB21343,SAMEA117805721,ERX14135274,HiSeq X Ten,DN495167B:E8,PAIRED,RANDOM,GENOMIC,Aulonocara sp. 'blue orange chilumba 2016',ILLUMINA,ERP023585,Aulonocara sp. 'blue orange chilumba 2016'
ERR14733850,302,17876173354,PRJEB21343,SAMEA117805722,ERX14135275,HiSeq X Ten,DN495167B:F8,PAIRED,RANDOM,GENOMIC,Aulonocara ethelwynnae,ILLUMINA,ERP023585,Aulonocara ethelwynnae
ERR14733851,302,18688322324,PRJEB21343,SAMEA117805723,ERX14135276,HiSeq X Ten,DN495167B:G8,PAIRED,RANDOM,GENOMIC,Aulonocara ethelwynnae,ILLUMINA,ERP023585,Aulonocara ethelwynnae
ERR14733852,302,16324723854,PRJEB21343,SAMEA117805724,ERX14135277,HiSeq X Ten,DN495167B:H8,PAIRED,RANDOM,GENOMIC,Maylandia fainzilberi,ILLUMINA,ERP023585,Maylandia fainzilberi
ERR14733853,302,13453573312,PRJEB21343,SAMEA117805736,ERX14135278,HiSeq X Ten,DN495167B:A10,PAIRED,RANDOM,GENOMIC,Maylandia fainzilberi,ILLUMINA,ERP023585,Maylandia fainzilberi
