Index,SampleID,Organism_ad,GenomeVersion,RunIDs,Coverage,TotalReads,InversionReads,DuplicationReads,ClippedReads,ChimericReads,bwa_version,gatk_version,pysam_version,BamSize,ProjectID,UnmappedReads,DiscordantReads,File,Organism_lmf,Ecogroup
60,SAMEA4032051,Astatotilapia rukwa blue,Mzebra_UMD2a,ERR1749477,32.43477094,205667650,312282,332878,3340728,5858067,0.7.17,4.2.6.0,0.15.3,20435791448,PRJEB15289,1074343,7845048,PRJEB15289/ERR1749477.unmapped_marked_adapters.bam,Protomelas ornatus,Shallow_Benthic
61,SAMEA3388875,Copadichromis likomae,Mzebra_UMD2a,ERR1081385,13.43007748,102872810,142316,144698,1477140,1887007,0.7.17,4.2.6.1,0.15.3,8222750013,PRJEB1254,578123,3802640,PRJEB1254/ERR1081385.unmapped_marked_adapters.bam,Astatotilapia calliptera 'Itupi',AC
62,SAMEA2661246,Copadichromis likomae,Mzebra_UMD2a,ERR702307,6.558447554,50236935,50326,47874,1004908,968578,0.7.17,4.2.6.1,0.15.3,4358573522,PRJEB1254,247731,1167742,PRJEB1254/ERR702307.unmapped_marked_adapters.bam,Placidochromis subocularis,Shallow_Benthic
63,SAMEA4033279,Astatotilapia rukwa blue,Mzebra_UMD2a,ERR1749506,35.64872948,226047239,230168,287218,2442173,4090157,0.7.17,4.2.6.0,0.15.3,22201396827,PRJEB15289,1105000,6266134,PRJEB15289/ERR1749506.unmapped_marked_adapters.bam,Maylandia zebra,Mbuna
64,SAMEA1877497,Copadichromis likomae,Mzebra_UMD2a,"ERR266486,,ERR266462,,ERR266494",11.7099227,112120784,118296,89890,1710062,1401984,0.7.17,4.2.6.1,0.15.3,13967462989,PRJEB1254,1058376,3496278,PRJEB1254/ERR266486.unmapped_marked_adapters.bam,Copadichromis mloto,Shallow_Benthic
65,SAMEA4032092,Astatotilapia rukwa blue,Mzebra_UMD2a,ERR1749521,41.36223589,262276366,445140,471766,4342616,8449247,0.7.17,4.2.6.0,0.15.3,26254682901,PRJEB15289,1410039,11673008,PRJEB15289/ERR1749521.unmapped_marked_adapters.bam,Diplotaxodon limnothrissa,Diplotaxodon
66,SAMEA1877455,Copadichromis likomae,Mzebra_UMD2a,"ERR266512,,ERR271681,,ERR271673",19.38860924,185643076,266780,159670,3423337,2864445,0.7.17,4.2.6.1,0.15.3,22747271727,PRJEB1254,1649266,6058048,PRJEB1254/ERR266512.unmapped_marked_adapters.bam,Lethrinops auritus,Shallow_Benthic
67,SAMEA3388874,Copadichromis likomae,Mzebra_UMD2a,ERR1081384,14.74406284,112937783,126442,143538,1323843,1656033,0.7.17,4.2.6.1,0.15.3,8802431733,PRJEB1254,582542,3403290,PRJEB1254/ERR1081384.unmapped_marked_adapters.bam,Metriaclima zebra,Mbuna
68,SAMEA4033262,Astatotilapia rukwa blue,Mzebra_UMD2a,ERR1749472,30.9866741,196485323,298782,310660,3058299,5525679,0.7.17,4.2.6.0,0.15.3,20635559440,PRJEB15289,1004566,7526676,PRJEB15289/ERR1749472.unmapped_marked_adapters.bam,Copadichromis virginalis,Utaka
69,SAMEA2661399,Copadichromis likomae,Mzebra_UMD2a,ERR702237,7.101161652,54394061,56220,51068,1102934,1028860,0.7.17,4.2.6.1,0.15.3,4685459537,PRJEB1254,223708,1191092,PRJEB1254/ERR702237.unmapped_marked_adapters.bam,Astatotilapia 'Massoko olive',Riverine
70,SAMEA2661378,Copadichromis likomae,Mzebra_UMD2a,ERR702227,5.120404402,39221694,35518,34014,799692,696037,0.7.17,4.2.6.1,0.15.3,10027686613,PRJEB1254,180784,808506,PRJEB1254/ERR702227.unmapped_marked_adapters.bam,Astatotilapia 'Massoko olive',Riverine
71,SAMEA2661439,Copadichromis likomae,Mzebra_UMD2a,ERR702275,7.32625389,56118241,56700,53356,1087034,1040279,0.7.17,4.2.6.1,0.15.3,4772345947,PRJEB1254,252662,1276324,PRJEB1254/ERR702275.unmapped_marked_adapters.bam,Astatotilapia 'Itamba yellow',Riverine
72,SAMEA4033333,Astatotilapia rukwa blue,Mzebra_UMD2a,ERR1822250,36.47537235,231288950,526614,605292,6705795,11597644,0.7.17,4.2.6.0,0.15.3,24791259384,PRJEB15289,1797493,14565130,PRJEB15289/ERR1822250.unmapped_marked_adapters.bam,Astatotilapia bloyeti,Riverine
73,SAMEA2661268,Copadichromis likomae,Mzebra_UMD2a,ERR715516,16.58896735,127069534,148160,125342,2756345,2705653,0.7.17,4.2.6.1,0.15.3,10263254898,PRJEB1254,588616,2845926,PRJEB1254/ERR715516.unmapped_marked_adapters.bam,Fossorochromis rostratus,Shallow_Benthic
74,SAMEA2661431,Copadichromis likomae,Mzebra_UMD2a,ERR702267,6.740231945,51629382,54476,51828,1088691,977496,0.7.17,4.2.6.1,0.15.3,4435344777,PRJEB1254,302123,1185448,PRJEB1254/ERR702267.unmapped_marked_adapters.bam,Astatotilapia 'Itamba yellow',Riverine
75,SAMEA4033261,Astatotilapia rukwa blue,Mzebra_UMD2a,ERR1749470,32.88371812,208514407,325678,370700,3221176,5910991,0.7.17,4.2.6.0,0.15.3,22168834116,PRJEB15289,4791529,8278238,PRJEB15289/ERR1749470.unmapped_marked_adapters.bam,Copadichromis virginalis,Utaka
76,SAMEA2661323,Copadichromis likomae,Mzebra_UMD2a,ERR755298,7.180326187,55000452,51938,46956,999919,983893,0.7.17,4.2.6.1,0.15.3,4853786633,PRJEB1254,225130,1092496,PRJEB1254/ERR755298.unmapped_marked_adapters.bam,Astatotilapia 'Massoko littoral',Riverine
77,SAMEA1877411,Copadichromis likomae,Mzebra_UMD2a,"ERR266504,,ERR271657,,ERR271665",16.34990002,156547883,161284,126190,2493642,2048713,0.7.17,4.2.6.1,0.15.3,19139362748,PRJEB1254,959024,4593776,PRJEB1254/ERR266504.unmapped_marked_adapters.bam,Nimbochromis linni,Shallow_Benthic
78,SAMEA4032040,Astatotilapia rukwa blue,Mzebra_UMD2a,ERR1749410,32.446827,205744097,301724,318648,3252343,5610976,0.7.17,4.2.6.0,0.15.3,21406414844,PRJEB15289,1112032,7594608,PRJEB15289/ERR1749410.unmapped_marked_adapters.bam,Trematocranus placodon,Shallow_Benthic
