Index,SampleID,Organism_ad,GenomeVersion,RunIDs,Coverage,TotalReads,InversionReads,DuplicationReads,ClippedReads,ChimericReads,bwa_version,gatk_version,pysam_version,BamSize,ProjectID,UnmappedReads,DiscordantReads,File,Organism_lmf,Ecogroup
29,SAMEA4033324,Astatotilapia rukwa blue,Mzebra_UMD2a,ERR1749453,42.56649717,269912541,481326,461262,4643572,8978283,0.7.17,4.2.6.0,0.15.3,26951743570,PRJEB15289,1448613,10241514,PRJEB15289/ERR1749453.unmapped_marked_adapters.bam,Copadichromis virginalis,Utaka
30,SAMN06685749,Maylandia zebra,Mzebra_UMD2a,SRR5438124,31.36717628,300336090,345538,320210,4635945,3637826,0.7.17,4.2.6.1,0.15.3,22569159323,RockSand_v1,8342039,10708352,RockSand_v1/SRR5438124.unmapped_marked_adapters.bam,Ctenopharynx nitidus,Shallow_Benthic
31,SAMEA4032068,Astatotilapia rukwa blue,Mzebra_UMD2a,ERR1749507,36.38460615,230713405,243336,298798,2564182,4295147,0.7.17,4.2.6.0,0.15.3,22767084411,PRJEB15289,862113,6357832,PRJEB15289/ERR1749507.unmapped_marked_adapters.bam,Maylandia zebra,Mbuna
32,SAMN08051113,Maylandia zebra,Mzebra_UMD2a,SRR6314229,29.52883467,282734240,264484,222588,3963892,2484538,0.7.17,4.2.6.1,0.15.3,23201480352,RockSand_v1,14012296,6987432,RockSand_v1/SRR6314229.unmapped_marked_adapters.bam,Petrotilapia nigra,Mbuna
33,SAMEA4033330,Astatotilapia rukwa blue,Mzebra_UMD2a,ERR1822248,34.33968332,217746627,341332,339046,3246275,6157399,0.7.17,4.2.6.0,0.15.3,21980307873,PRJEB15289,1173018,7941874,PRJEB15289/ERR1822248.unmapped_marked_adapters.bam,Dimidiochromis kiwinge,Shallow_Benthic
34,SAMN06685754,Maylandia zebra,Mzebra_UMD2a,SRR5438108,15.81721714,151447523,125432,83732,2066306,1356453,0.7.17,4.2.6.1,0.15.3,10514574987,RockSand_v1,32032687,3292632,RockSand_v1/SRR5438108.unmapped_marked_adapters.bam,Nyassachromis sp. 'otter',Utaka
35,SAMN06685765,Maylandia zebra,Mzebra_UMD2a,SRR5438112,17.12250616,163945473,261006,130616,1733632,2392686,0.7.17,4.2.6.1,0.15.3,11081725944,RockSand_v1,5797966,5751478,RockSand_v1/SRR5438112.unmapped_marked_adapters.bam,Dimidiochromis kiwinge,Shallow_Benthic
36,SAMEA4032096,Astatotilapia rukwa blue,Mzebra_UMD2a,ERR1749529,34.97671883,221786045,376820,388646,3577702,6824742,0.7.17,4.2.6.0,0.15.3,23427287210,PRJEB15289,1134396,9418492,PRJEB15289/ERR1749529.unmapped_marked_adapters.bam,Diplotaxodon limnothrissa,Diplotaxodon
37,SAMN06685762,Maylandia zebra,Mzebra_UMD2a,SRR5438114,26.03554978,249286552,379870,229274,4004469,3515839,0.7.17,4.2.6.1,0.15.3,20918758613,RockSand_v1,7584875,7805576,RockSand_v1/SRR5438114.unmapped_marked_adapters.bam,Dimidiochromis compressiceps,Shallow_Benthic
38,SAMN06685758,Maylandia zebra,Mzebra_UMD2a,SRR5438118,36.82043463,352550235,542000,352174,5364686,4824188,0.7.17,4.2.6.1,0.15.3,30250884083,RockSand_v1,4964723,11496242,RockSand_v1/SRR5438118.unmapped_marked_adapters.bam,Tramitichromis intermedius,Shallow_Benthic
39,SAMN06685756,Maylandia zebra,Mzebra_UMD2a,SRR5438120,17.95261523,171893645,519514,147384,4192169,1827611,0.7.17,4.2.6.1,0.15.3,13186979571,RockSand_v1,44276385,9414750,RockSand_v1/SRR5438120.unmapped_marked_adapters.bam,Trematocranus placodon,Shallow_Benthic
40,SAMEA6147767,Astatotilapia rukwa blue,Mzebra_UMD2a,ERR3634108,29.49892572,187051567,460770,478072,6242573,10135917,0.7.17,4.2.6.0,0.15.3,20615053002,PRJEB15289,1658434,13619064,PRJEB15289/ERR3634108.unmapped_marked_adapters.bam,Astatotilapia rukwa sunset,Riverine
41,SAMN06685755,Maylandia zebra,Mzebra_UMD2a,SRR5438121,18.21374197,174393895,124754,63278,946184,1259241,0.7.17,4.2.6.1,0.15.3,13284098414,RockSand_v1,85932102,2198514,RockSand_v1/SRR5438121.unmapped_marked_adapters.bam,Otopharynx argyrosoma,Deep_Benthic
42,SAMN06685751,Maylandia zebra,Mzebra_UMD2a,SRR5438123,22.0365442,210996663,296962,190214,3372745,2837288,0.7.17,4.2.6.1,0.15.3,18386099326,RockSand_v1,1683927,7502392,RockSand_v1/SRR5438123.unmapped_marked_adapters.bam,Copadichromis mloto,Shallow_Benthic
43,SAMEA4032110,Astatotilapia rukwa blue,Mzebra_UMD2a,ERR1749423,30.21257989,191576821,274644,289260,2895603,5139729,0.7.17,4.2.6.0,0.15.3,20094701699,PRJEB15289,1081621,6922318,PRJEB15289/ERR1749423.unmapped_marked_adapters.bam,Protomelas similis,Shallow_Benthic
44,SAMN08051112,Maylandia zebra,Mzebra_UMD2a,SRR6314228,38.4857365,368495255,346004,317486,4142934,3267957,0.7.17,4.2.6.1,0.15.3,29577152846,RockSand_v1,7090478,9381600,RockSand_v1/SRR6314228.unmapped_marked_adapters.bam,Maylandia sp. ''Patricki'',Mbuna
45,SAMEA4033326,Astatotilapia rukwa blue,Mzebra_UMD2a,ERR1749456,27.58242046,174899080,277974,287034,2721581,5052326,0.7.17,4.2.6.0,0.15.3,18116654274,PRJEB15289,844473,6926960,PRJEB15289/ERR1749456.unmapped_marked_adapters.bam,Copadichromis virginalis,Utaka
46,SAMN06685760,Maylandia zebra,Mzebra_UMD2a,SRR5438116,30.05523703,287774465,468330,256276,3311662,4117490,0.7.17,4.2.6.1,0.15.3,19135956575,RockSand_v1,7707380,10060332,RockSand_v1/SRR5438116.unmapped_marked_adapters.bam,Fossorochromis rostratus,Shallow_Benthic
47,SAMEA4032065,Astatotilapia rukwa blue,Mzebra_UMD2a,ERR1749501,36.66112003,232466769,415340,439990,3862934,7997250,0.7.17,4.2.6.0,0.15.3,23492133413,PRJEB15289,1243848,11513740,PRJEB15289/ERR1749501.unmapped_marked_adapters.bam,Rhamphochromis longiceps,Rhampochromis
48,SAMEA4032130,Astatotilapia rukwa blue,Mzebra_UMD2a,ERR1749451,41.11297876,260695836,409088,456982,4212880,7905642,0.7.17,4.2.6.0,0.15.3,24995299745,PRJEB15289,1629051,9555606,PRJEB15289/ERR1749451.unmapped_marked_adapters.bam,Copadichromis virginalis,Utaka
49,SAMEA4032064,Astatotilapia rukwa blue,Mzebra_UMD2a,ERR1749499,29.88173924,189478973,318602,338754,3015810,5663141,0.7.17,4.2.6.0,0.15.3,19735673833,PRJEB15289,997170,8419618,PRJEB15289/ERR1749499.unmapped_marked_adapters.bam,Rhamphochromis longiceps,Rhampochromis
50,SAMEA4033311,Astatotilapia rukwa blue,Mzebra_UMD2a,ERR1749431,35.77715148,226861558,357284,361864,3562172,6500896,0.7.17,4.2.6.0,0.15.3,23675695667,PRJEB15289,1223369,8493164,PRJEB15289/ERR1749431.unmapped_marked_adapters.bam,Mylochromis anaphyrmus,Shallow_Benthic
51,SAMEA4033263,Astatotilapia rukwa blue,Mzebra_UMD2a,ERR1749474,31.99723591,202893257,307464,318788,3048878,5771694,0.7.17,4.2.6.0,0.15.3,20575835963,PRJEB15289,1030445,7773996,PRJEB15289/ERR1749474.unmapped_marked_adapters.bam,Copadichromis virginalis,Utaka
52,SAMEA4033277,Astatotilapia rukwa blue,Mzebra_UMD2a,ERR1749502,35.64039573,225994395,364056,389204,3568517,6703142,0.7.17,4.2.6.0,0.15.3,23608419702,PRJEB15289,1163980,9728902,PRJEB15289/ERR1749502.unmapped_marked_adapters.bam,Rhamphochromis longiceps,Rhampochromis
53,SAMEA4032091,Astatotilapia rukwa blue,Mzebra_UMD2a,ERR1749519,36.99468235,234581875,383370,420620,3864587,7340301,0.7.17,4.2.6.0,0.15.3,23228355972,PRJEB15289,1365806,9603958,PRJEB15289/ERR1749519.unmapped_marked_adapters.bam,Diplotaxodon limnothrissa,Diplotaxodon
54,SAMEA2661264,Copadichromis likomae,Mzebra_UMD2a,ERR715476,5.784117751,44305660,50680,43450,980544,949972,0.7.17,4.2.6.1,0.15.3,3737151909,PRJEB1254,246632,1018570,PRJEB1254/ERR715476.unmapped_marked_adapters.bam,Fossorochromis rostratus,Shallow_Benthic
55,SAMEA3480882,Copadichromis likomae,Mzebra_UMD2a,ERR1081372,16.6015806,127166150,229230,186676,2162482,3178262,0.7.17,4.2.6.1,0.15.3,9821070729,PRJEB1254,892911,4964594,PRJEB1254/ERR1081372.unmapped_marked_adapters.bam,Hemitaeniochromis spilopterus,Shallow_Benthic
56,SAMEA2661233,Copadichromis likomae,Mzebra_UMD2a,ERR702300,6.55394383,50202437,90422,49922,2131799,1407857,0.7.17,4.2.6.1,0.15.3,4319262002,PRJEB1254,184821,1021332,PRJEB1254/ERR702300.unmapped_marked_adapters.bam,Trematocranus placodon,Shallow_Benthic
57,SAMEA2661363,Copadichromis likomae,Mzebra_UMD2a,ERR731016,8.205549539,62853542,57840,51120,1343217,1121662,0.7.17,4.2.6.1,0.15.3,5355634500,PRJEB1254,235776,1177478,PRJEB1254/ERR731016.unmapped_marked_adapters.bam,Astatotilapia 'Massoko benthic',Riverine
58,SAMEA4033339,Astatotilapia rukwa blue,Mzebra_UMD2a,ERR1743779,37.86420767,240095502,689234,595360,8735183,15541596,0.7.17,4.2.6.0,0.15.3,25513587910,PRJEB15289,3482569,18982256,PRJEB15289/ERR1743779.unmapped_marked_adapters.bam,Astatotilapia tweddlei,Riverine
59,SAMEA3388859,Copadichromis likomae,Mzebra_UMD2a,ERR1081371,15.67222831,120047421,175972,171890,1864423,2478783,0.7.17,4.2.6.1,0.15.3,9426565526,PRJEB1254,733338,4521212,PRJEB1254/ERR1081371.unmapped_marked_adapters.bam,Dimidiochromis kiwinge,Shallow_Benthic
