,SampleID,metadata_id
454,SAMEA4032111,SAMEA4032111_Shallow_Benthic
455,SAMEA2661278,SAMEA2661278_Shallow_Benthic
457,SAMEA4033288,SAMEA4033288_Diplotaxodon
459,SAMEA4032107,SAMEA4032107_Shallow_Benthic
461,SAMEA4032054,SAMEA4032054_Shallow_Benthic
467,SAMEA4032127,SAMEA4032127_Mbuna
468,SAMEA3388855,SAMEA3388855_Shallow_Benthic
474,SAMEA4032088,SAMEA4032088_Mbuna
477,SAMEA4032102,SAMEA4032102_Shallow_Benthic
478,SAMEA2661265,SAMEA2661265_Shallow_Benthic
479,SAMEA4032114,SAMEA4032114_Shallow_Benthic
480,SAMEA1904329,SAMEA1904329_Utaka
482,SAMEA4032033,SAMEA4032033_Mbuna
484,SAMEA4032101,SAMEA4032101_Shallow_Benthic
486,SAMEA4033313,SAMEA4033313_Shallow_Benthic
487,SAMEA1920093,SAMEA1920093_Shallow_Benthic
489,SAMEA4032066,SAMEA4032066_Mbuna
492,SAMEA4033286,SAMEA4033286_Diplotaxodon
493,SAMEA3388857,SAMEA3388857_Shallow_Benthic
494,SAMEA4032056,SAMEA4032056_Shallow_Benthic
497,SAMEA4032053,SAMEA4032053_Shallow_Benthic
498,SAMEA2661220,SAMEA2661220_Shallow_Benthic
500,SAMEA4032134,SAMEA4032134_Utaka
501,SAMEA2661231,SAMEA2661231_Shallow_Benthic
502,SAMEA4032069,SAMEA4032069_Mbuna
503,SAMEA2661259,SAMEA2661259_Shallow_Benthic
504,SAMEA4032112,SAMEA4032112_Shallow_Benthic
505,SAMEA2661222,SAMEA2661222_Utaka
507,SAMEA4033259,SAMEA4033259_Shallow_Benthic
509,SAMEA2661279,SAMEA2661279_Shallow_Benthic
510,SAMEA4032100,SAMEA4032100_Mbuna
513,SAMEA4033280,SAMEA4033280_Mbuna
515,SAMEA4033323,SAMEA4033323_Utaka
520,SAMEA4033297,SAMEA4033297_Shallow_Benthic
521,SAMEA4032138,SAMEA4032138_Shallow_Benthic
